country,year,co2_emissions
Tanzania,1990,2372.549
Uganda,1990,817.741
Ukraine,1990,
Upper middle income,1990,7223726.53343588
Uruguay,1990,3993.363
United States,1990,4879376.206
Uzbekistan,1990,
St. Vincent and the Grenadines,1990,80.674
"Venezuela, RB",1990,122162.438
Virgin Islands (U.S.),1990,
Vietnam,1990,21407.946
Vanuatu,1990,69.673
West Bank and Gaza,1990,
World,1990,22529936.0
Samoa,1990,124.678
"Yemen, Rep.",1990,-2999.606
South Africa,1990,333513.65
"Congo, Dem. Rep.",1990,4070.37
Zambia,1990,2445.889
Zimbabwe,1990,15504.076
Aruba,1991,1928.842
Andorra,1991,
Afghanistan,1991,2493.56
Angola,1991,4367.397
Albania,1991,3971.361
United Arab Emirates,1991,57010.849
Argentina,1991,117021.304
Armenia,1991,
American Samoa,1991,
Antigua and Barbuda,1991,293.36
Australia,1991,281530.258
Austria,1991,65888.656
Azerbaijan,1991,
Burundi,1991,344.698
Belgium,1991,117578.688
Benin,1991,828.742
Burkina Faso,1991,627.057
Bangladesh,1991,15940.449
Bulgaria,1991,59706.094
Bahrain,1991,11503.379
"Bahamas, The",1991,1782.162
Bosnia and Herzegovina,1991,
Belarus,1991,
Belize,1991,359.366
Bermuda,1991,509.713
Bolivia,1991,5779.192
Brazil,1991,219330.604
Barbados,1991,1206.443
Brunei Darussalam,1991,5815.862
Bhutan,1991,187.017
Botswana,1991,2148.862
Central African Republic,1991,205.352
Canada,1991,449053.486
Switzerland,1991,42350.183
Channel Islands,1991,
Chile,1991,32991.999
China,1991,2584538.27
Cote d'Ivoire,1991,5636.179
Cameroon,1991,1111.101
"Congo, Rep.",1991,1265.115
Cook Islands,1991,22.002
Colombia,1991,57120.859
Comoros,1991,77.007
Cape Verde,1991,91.675
Costa Rica,1991,3336.97
Cuba,1991,29633.027
Curacao,1991,
Cayman Islands,1991,275.025
Cyprus,1991,4741.431
Czech Republic,1991,
Germany,1991,960992.355
Djibouti,1991,399.703
Dominica,1991,58.672
Denmark,1991,61433.251
Dominican Republic,1991,10135.588
Algeria,1991,81458.738
East Asia & Pacific,1991,3289803.57661822
Europe & Central Asia,1991,
Ecuador,1991,16486.832
"Egypt, Arab Rep.",1991,78715.822
Euro area,1991,2718904.68792074
Eritrea,1991,
Spain,1991,235080.369
Estonia,1991,
Ethiopia,1991,2984.938
Finland,1991,54891.323
Fiji,1991,674.728
France,1991,427667.542
Faeroe Islands,1991,594.054
"Micronesia, Fed. Sts.",1991,
Gabon,1991,1477.801
United Kingdom,1991,593808.311
Georgia,1991,
Ghana,1991,4044.701
Gibraltar,1991,106.343
Guinea,1991,1074.431
"Gambia, The",1991,198.018
Guinea-Bissau,1991,256.69
Equatorial Guinea,1991,201.685
Greece,1991,67615.813
Grenada,1991,121.011
Greenland,1991,550.05
Guatemala,1991,5053.126
Guam,1991,
Guyana,1991,1122.102
High income,1991,11763151.9460281
"Hong Kong SAR, China",1991,28892.293
Honduras,1991,2698.912
Croatia,1991,
Haiti,1991,997.424
Hungary,1991,63435.433
Indonesia,1991,179730.671
Isle of Man,1991,
India,1991,737851.738
Ireland,1991,33109.343
"Iran, Islamic Rep.",1991,233745.581
Iraq,1991,47421.644
Iceland,1991,2024.184
Israel,1991,34315.786
Italy,1991,433974.782
Jamaica,1991,8173.743
Jordan,1991,9798.224
Japan,1991,1100598.712
Kazakhstan,1991,
Kenya,1991,4840.44
Kyrgyz Republic,1991,
Cambodia,1991,462.042
Kiribati,1991,22.002
St. Kitts and Nevis,1991,73.34
"Korea, Rep.",1991,268431.734
Kosovo,1991,
Kuwait,1991,10579.295
Latin America & Caribbean,1991,1001061.664
Lao PDR,1991,253.023
Lebanon,1991,9497.53
Liberia,1991,286.026
Libya,1991,42489.529
St. Lucia,1991,172.349
Low income,1991,335600.293117305
Liechtenstein,1991,
Sri Lanka,1991,4063.036
Lower middle income,1991,2133997.3540996
Low & middle income,1991,9929307.62144372
Lesotho,1991,
Lithuania,1991,
Luxembourg,1991,10630.633
Latvia,1991,
"Macao SAR, China",1991,1092.766
St. Martin (French part),1991,
Morocco,1991,24975.937
Monaco,1991,
Moldova,1991,
Madagascar,1991,1074.431
Maldives,1991,172.349
Mexico,1991,336586.596
Marshall Islands,1991,51.338
Middle income,1991,9591788.54175639
"Macedonia, FYR",1991,
Mali,1991,436.373
Malta,1991,2200.2
Myanmar,1991,4180.38
Middle East & North Africa,1991,597625.188919937
Montenegro,1991,
Mongolia,1991,12207.443
Northern Mariana Islands,1991,
Mozambique,1991,1026.76
Mauritania,1991,2750.25
Mauritius,1991,1521.805
Malawi,1991,660.06
Malaysia,1991,68591.235
Mayotte,1991,
Namibia,1991,14.668
New Caledonia,1991,1789.496
Niger,1991,821.408
Nigeria,1991,45247.113
Nicaragua,1991,2068.188
Niue,1991,3.667
Netherlands,1991,172704.699
Norway,1991,32023.911
Nepal,1991,960.754
Nauru,1991,132.012
New Zealand,1991,24458.89
Oman,1991,10949.662
Pakistan,1991,68242.87
Panama,1991,3391.975
Peru,1991,20417.856
Philippines,1991,45830.166
Palau,1991,234.688
Papua New Guinea,1991,2064.521
Poland,1991,361591.869
Puerto Rico,1991,
"Korea, Dem. Rep.",1991,251145.496
Portugal,1991,48239.385
Paraguay,1991,2233.203
French Polynesia,1991,638.058
Qatar,1991,17674.94
Romania,1991,137530.835
Russian Federation,1991,
Rwanda,1991,630.724
South Asia,1991,829911.773
Saudi Arabia,1991,268475.738
Sudan,1991,5386.823
Senegal,1991,3424.978
Singapore,1991,47425.311
Small island developing states,1991,176596.642698742
Solomon Islands,1991,161.348
Sierra Leone,1991,469.376
El Salvador,1991,3230.627
San Marino,1991,
Somalia,1991,3.667
Serbia,1991,
Sub-Saharan Africa,1991,472215.621479124
Sao Tome and Principe,1991,69.673
Suriname,1991,2101.191
Slovak Republic,1991,
Slovenia,1991,
Sweden,1991,55401.036
Swaziland,1991,326.363
Sint Maarten (Dutch part),1991,
Seychelles,1991,143.013
Syrian Arab Republic,1991,43193.593
Turks and Caicos Islands,1991,
Chad,1991,69.673
Togo,1991,843.41
Thailand,1991,116148.558
Tajikistan,1991,
Turkmenistan,1991,
Timor-Leste,1991,
Tonga,1991,91.675
Trinidad and Tobago,1991,21048.58
Tunisia,1991,15489.408
Turkey,1991,151799.132
Tuvalu,1991,
Tanzania,1991,2434.888
Uganda,1991,850.744
Ukraine,1991,
Upper middle income,1991,7456999.42934626
Uruguay,1991,4554.414
United States,1991,4870238.042
Uzbekistan,1991,
St. Vincent and the Grenadines,1991,77.007
"Venezuela, RB",1991,115440.827
Virgin Islands (U.S.),1991,
Vietnam,1991,21451.95
Vanuatu,1991,66.006
West Bank and Gaza,1991,
World,1991,22867024.0
Samoa,1991,124.678
"Yemen, Rep.",1991,10109.919
South Africa,1991,346337.149
"Congo, Dem. Rep.",1991,3755.008
Zambia,1991,2416.553
Zimbabwe,1991,15823.105
Aruba,1992,1723.49
Andorra,1992,
Afghanistan,1992,1426.463
Angola,1992,4418.735
Albania,1992,2387.217
United Arab Emirates,1992,58136.618
Argentina,1992,121447.373
Armenia,1992,3681.668
American Samoa,1992,
Antigua and Barbuda,1992,293.36
Australia,1992,294456.433
Austria,1992,60531.169
Azerbaijan,1992,44172.682
Burundi,1992,319.029
Belgium,1992,114373.73
Benin,1992,905.749
Burkina Faso,1992,630.724
Bangladesh,1992,17748.28
Bulgaria,1992,53600.539
Bahrain,1992,10590.296
"Bahamas, The",1992,1793.163
Bosnia and Herzegovina,1992,3938.358
Belarus,1992,87487.286
Belize,1992,355.699
Bermuda,1992,407.037
Bolivia,1992,6648.271
Brazil,1992,220705.729
Barbados,1992,979.089
Brunei Darussalam,1992,5808.528
Bhutan,1992,216.353
Botswana,1992,3296.633
Central African Republic,1992,216.353
Canada,1992,467648.843
Switzerland,1992,43325.605
Channel Islands,1992,
Chile,1992,34117.768
China,1992,2695982.067
Cote d'Ivoire,1992,4624.087
Cameroon,1992,3795.345
"Congo, Rep.",1992,1573.143
Cook Islands,1992,22.002
Colombia,1992,62049.307
Comoros,1992,77.007
Cape Verde,1992,102.676
Costa Rica,1992,3791.678
Cuba,1992,31338.182
Curacao,1992,
Cayman Islands,1992,278.692
Cyprus,1992,5276.813
Czech Republic,1992,139503.681
Germany,1992,928326.719
Djibouti,1992,414.371
Dominica,1992,58.672
Denmark,1992,54528.29
Dominican Republic,1992,11206.352
Algeria,1992,82261.811
East Asia & Pacific,1992,3450812.99625647
Europe & Central Asia,1992,3885852.60760128
Ecuador,1992,22302.694
"Egypt, Arab Rep.",1992,81264.387
Euro area,1992,2655681.737
Eritrea,1992,
Spain,1992,245098.613
Estonia,1992,23028.76
Ethiopia,1992,2966.603
Finland,1992,49126.799
Fiji,1992,733.4
France,1992,397037.091
Faeroe Islands,1992,660.06
"Micronesia, Fed. Sts.",1992,
Gabon,1992,2130.527
United Kingdom,1992,587453.4
Georgia,1992,15335.394
Ghana,1992,4096.039
Gibraltar,1992,91.675
Guinea,1992,1074.431
"Gambia, The",1992,198.018
Guinea-Bissau,1992,260.357
Equatorial Guinea,1992,216.353
Greece,1992,75503.53
Grenada,1992,128.345
Greenland,1992,484.044
Guatemala,1992,6017.547
Guam,1992,
Guyana,1992,1052.429
High income,1992,11821713.9321519
"Hong Kong SAR, China",1992,33428.372
Honduras,1992,3076.613
Croatia,1992,16442.828
Haiti,1992,909.416
Hungary,1992,58716.004
Indonesia,1992,202576.081
Isle of Man,1992,
India,1992,783634.233
Ireland,1992,31253.841
"Iran, Islamic Rep.",1992,247471.162
Iraq,1992,61671.606
Iceland,1992,1892.172
Israel,1992,41499.439
Italy,1992,432959.023
Jamaica,1992,8096.736
Jordan,1992,12266.115
Japan,1992,1123660.475
Kazakhstan,1992,261306.753
Kenya,1992,5540.837
Kyrgyz Republic,1992,10861.654
Cambodia,1992,476.71
Kiribati,1992,22.002
St. Kitts and Nevis,1992,73.34
"Korea, Rep.",1992,286568.716
Kosovo,1992,
Kuwait,1992,17612.601
Latin America & Caribbean,1992,1022689.63
Lao PDR,1992,278.692
Lebanon,1992,11356.699
Liberia,1992,289.693
Libya,1992,40571.688
St. Lucia,1992,205.352
Low income,1992,343641.368282571
Liechtenstein,1992,
Sri Lanka,1992,5056.793
Lower middle income,1992,2330010.52094174
Low & middle income,1992,10325599.9697127
Lesotho,1992,
Lithuania,1992,22152.347
Luxembourg,1992,11804.073
Latvia,1992,14051.944
"Macao SAR, China",1992,1085.432
St. Martin (French part),1992,
Morocco,1992,26039.367
Monaco,1992,
Moldova,1992,20971.573
Madagascar,1992,1045.095
Maldives,1992,253.023
Mexico,1992,342629.812
Marshall Islands,1992,55.005
Middle income,1992,9982401.62726093
"Macedonia, FYR",1992,10777.313
Mali,1992,443.707
Malta,1992,2258.872
Myanmar,1992,4888.111
Middle East & North Africa,1992,637511.141062251
Montenegro,1992,
Mongolia,1992,11078.007
Northern Mariana Islands,1992,
Mozambique,1992,1001.091
Mauritania,1992,2944.601
Mauritius,1992,1708.822
Malawi,1992,656.393
Malaysia,1992,75298.178
Mayotte,1992,
Namibia,1992,14.668
New Caledonia,1992,1771.161
Niger,1992,784.738
Nigeria,1992,64883.898
Nicaragua,1992,2489.893
Niue,1992,3.667
Netherlands,1992,168113.615
Norway,1992,29677.031
Nepal,1992,1331.121
Nauru,1992,135.679
New Zealand,1992,26171.379
Oman,1992,12097.433
Pakistan,1992,72789.95
Panama,1992,4015.365
Peru,1992,20388.52
Philippines,1992,50322.241
Palau,1992,113.677
Papua New Guinea,1992,2053.52
Poland,1992,357283.144
Puerto Rico,1992,
"Korea, Dem. Rep.",1992,255413.884
Portugal,1992,52372.094
Paraguay,1992,2621.905
French Polynesia,1992,645.392
Qatar,1992,26802.103
Romania,1992,125063.035
Russian Federation,1992,2220720.532
Rwanda,1992,638.058
South Asia,1992,882456.216
Saudi Arabia,1992,286807.071
Sudan,1992,4756.099
Senegal,1992,3479.983
Singapore,1992,50267.236
Small island developing states,1992,182115.287783078
Solomon Islands,1992,161.348
Sierra Leone,1992,473.043
El Salvador,1992,3428.645
San Marino,1992,
Somalia,1992,11.001
Serbia,1992,
Sub-Saharan Africa,1992,475675.861990374
Sao Tome and Principe,1992,73.34
Suriname,1992,2112.192
Slovak Republic,1992,45646.816
Slovenia,1992,12970.179
Sweden,1992,57131.86
Swaziland,1992,264.024
Sint Maarten (Dutch part),1992,
Seychelles,1992,165.015
Syrian Arab Republic,1992,44436.706
Turks and Caicos Islands,1992,
Chad,1992,88.008
Togo,1992,836.076
Thailand,1992,126830.529
Tajikistan,1992,7220.323
Turkmenistan,1992,28067.218
Timor-Leste,1992,
Tonga,1992,88.008
Trinidad and Tobago,1992,20986.241
Tunisia,1992,15023.699
Turkey,1992,154494.377
Tuvalu,1992,
Tanzania,1992,2361.548
Uganda,1992,861.745
Ukraine,1992,641680.996
Upper middle income,1992,7652334.29270054
Uruguay,1992,5170.47
United States,1992,4876006.233
Uzbekistan,1992,114014.364
St. Vincent and the Grenadines,1992,84.341
"Venezuela, RB",1992,105873.624
Virgin Islands (U.S.),1992,
Vietnam,1992,22387.035
Vanuatu,1992,66.006
West Bank and Gaza,1992,
World,1992,22445664.0
Samoa,1992,128.345
"Yemen, Rep.",1992,14381.974
South Africa,1992,324852.196
"Congo, Dem. Rep.",1992,3619.329
Zambia,1992,2456.89
Zimbabwe,1992,16901.203
Aruba,1993,1771.161
Andorra,1993,
Afghanistan,1993,1375.125
Angola,1993,5801.194
Albania,1993,2343.213
United Arab Emirates,1993,65980.331
Argentina,1993,118609.115
Armenia,1993,2929.933
American Samoa,1993,
Antigua and Barbuda,1993,308.028
Australia,1993,302116.796
Austria,1993,58213.625
Azerbaijan,1993,43285.268
Burundi,1993,337.364
Belgium,1993,108924.568
Benin,1993,1133.103
Burkina Faso,1993,627.057
Bangladesh,1993,17407.249
Bulgaria,1993,69328.302
Bahrain,1993,15141.043
"Bahamas, The",1993,1716.156
Bosnia and Herzegovina,1993,3270.964
Belarus,1993,74451.101
Belize,1993,377.701
Bermuda,1993,480.377
Bolivia,1993,8038.064
Brazil,1993,230738.641
Barbados,1993,1114.768
Brunei Darussalam,1993,5588.508
Bhutan,1993,187.017
Botswana,1993,3509.319
Central African Republic,1993,223.687
Canada,1993,477920.11
Switzerland,1993,41022.729
Channel Islands,1993,
Chile,1993,36288.632
China,1993,2878694.009
Cote d'Ivoire,1993,5892.869
Cameroon,1993,3898.021
"Congo, Rep.",1993,1543.807
Cook Islands,1993,22.002
Colombia,1993,64022.153
Comoros,1993,77.007
Cape Verde,1993,102.676
Costa Rica,1993,3953.026
Cuba,1993,29347.001
Curacao,1993,
Cayman Islands,1993,289.693
Cyprus,1993,5665.515
Czech Republic,1993,131964.329
Germany,1993,911425.516
Djibouti,1993,429.039
Dominica,1993,62.339
Denmark,1993,57337.212
Dominican Republic,1993,11939.752
Algeria,1993,82474.497
East Asia & Pacific,1993,3688790.23116158
Europe & Central Asia,1993,3544417.82861649
Ecuador,1993,24187.532
"Egypt, Arab Rep.",1993,93156.468
Euro area,1993,2587669.888
Eritrea,1993,
Spain,1993,226954.297
Estonia,1993,18628.36
Ethiopia,1993,5163.136
Finland,1993,51935.721
Fiji,1993,773.737
France,1993,389105.37
Faeroe Islands,1993,597.721
"Micronesia, Fed. Sts.",1993,
Gabon,1993,3281.965
United Kingdom,1993,567523.255
Georgia,1993,9952.238
Ghana,1993,4664.424
Gibraltar,1993,333.697
Guinea,1993,1103.767
"Gambia, The",1993,209.019
Guinea-Bissau,1993,278.692
Equatorial Guinea,1993,102.676
Greece,1993,75646.543
Grenada,1993,143.013
Greenland,1993,502.379
Guatemala,1993,5658.181
Guam,1993,
Guyana,1993,1056.096
High income,1993,12122350.9277385
"Hong Kong SAR, China",1993,35129.86
Honduras,1993,2849.259
Croatia,1993,16428.16
Haiti,1993,663.727
Hungary,1993,60124.132
Indonesia,1993,218600.871
Isle of Man,1993,
India,1993,814297.687
Ireland,1993,31286.844
"Iran, Islamic Rep.",1993,229678.878
Iraq,1993,66801.739
Iceland,1993,1991.181
Israel,1993,45148.104
Italy,1993,422680.422
Jamaica,1993,8415.765
Jordan,1993,12101.1
Japan,1993,1108673.446
Kazakhstan,1993,221105.432
Kenya,1993,6347.577
Kyrgyz Republic,1993,8305.755
Cambodia,1993,476.71
Kiribati,1993,22.002
St. Kitts and Nevis,1993,84.341
"Korea, Rep.",1993,317085.49
Kosovo,1993,
Kuwait,1993,29376.337
Latin America & Caribbean,1993,1056323.354
Lao PDR,1993,278.692
Lebanon,1993,11657.393
Liberia,1993,322.696
Libya,1993,42636.209
St. Lucia,1993,227.354
Low income,1993,348730.089317485
Liechtenstein,1993,
Sri Lanka,1993,4902.779
Lower middle income,1993,2293583.16403491
Low & middle income,1993,10316726.5309594
Lesotho,1993,
Lithuania,1993,17495.257
Luxembourg,1993,10821.317
Latvia,1993,12068.097
"Macao SAR, China",1993,1188.108
St. Martin (French part),1993,
Morocco,1993,28217.565
Monaco,1993,
Moldova,1993,15628.754
Madagascar,1993,1070.764
Maldives,1993,216.353
Mexico,1993,341441.704
Marshall Islands,1993,62.339
Middle income,1993,9968446.68593403
"Macedonia, FYR",1993,10340.94
Mali,1993,454.708
Malta,1993,2669.576
Myanmar,1993,5342.819
Middle East & North Africa,1993,640556.430389646
Montenegro,1993,
Mongolia,1993,9314.18
Northern Mariana Islands,1993,
Mozambique,1993,1078.098
Mauritania,1993,2962.936
Mauritius,1993,1774.828
Malawi,1993,693.063
Malaysia,1993,91722.671
Mayotte,1993,
Namibia,1993,18.335
New Caledonia,1993,1771.161
Niger,1993,880.08
Nigeria,1993,60061.793
Nicaragua,1993,2302.876
Niue,1993,3.667
Netherlands,1993,172150.982
Norway,1993,31316.18
Nepal,1993,1466.8
Nauru,1993,135.679
New Zealand,1993,25511.319
Oman,1993,13468.891
Pakistan,1993,78008.091
Panama,1993,4129.042
Peru,1993,23556.808
Philippines,1993,51290.329
Palau,1993,110.01
Papua New Guinea,1993,1994.848
Poland,1993,352519.711
Puerto Rico,1993,
"Korea, Dem. Rep.",1993,262139.162
Portugal,1993,47472.982
Paraguay,1993,2951.935
French Polynesia,1993,649.059
Qatar,1993,30722.126
Romania,1993,122133.102
Russian Federation,1993,2030029.198
Rwanda,1993,641.725
South Asia,1993,917861.101
Saudi Arabia,1993,315567.352
Sudan,1993,2907.931
Senegal,1993,3593.66
Singapore,1993,54627.299
Small island developing states,1993,184251.686339974
Solomon Islands,1993,157.681
Sierra Leone,1993,506.046
El Salvador,1993,3890.687
San Marino,1993,
Somalia,1993,11.001
Serbia,1993,
Sub-Saharan Africa,1993,494622.157524726
Sao Tome and Principe,1993,73.34
Suriname,1993,2156.196
Slovak Republic,1993,40971.391
Slovenia,1993,13116.859
Sweden,1993,53149.498
Swaziland,1993,132.012
Sint Maarten (Dutch part),1993,
Seychelles,1993,161.348
Syrian Arab Republic,1993,47117.283
Turks and Caicos Islands,1993,
Chad,1993,99.009
Togo,1993,865.412
Thailand,1993,142554.625
Tajikistan,1993,5170.47
Turkmenistan,1993,27663.848
Timor-Leste,1993,
Tonga,1993,102.676
Trinidad and Tobago,1993,16820.529
Tunisia,1993,16501.5
Turkey,1993,164259.598
Tuvalu,1993,
Tanzania,1993,2636.573
Uganda,1993,821.408
Ukraine,1993,546111.642
Upper middle income,1993,7674832.16551687
Uruguay,1993,4466.406
United States,1993,5167485.062
Uzbekistan,1993,118532.108
St. Vincent and the Grenadines,1993,102.676
"Venezuela, RB",1993,124355.304
Virgin Islands (U.S.),1993,
Vietnam,1993,22970.088
Vanuatu,1993,66.006
West Bank and Gaza,1993,
World,1993,22467648.0
Samoa,1993,128.345
"Yemen, Rep.",1993,9431.524
South Africa,1993,342549.138
"Congo, Dem. Rep.",1993,3410.31
Zambia,1993,2500.894
Zimbabwe,1993,16208.14
Aruba,1994,1763.827
Andorra,1994,
Afghanistan,1994,1320.12
Angola,1994,3890.687
Albania,1994,1928.842
United Arab Emirates,1994,73130.981
Argentina,1994,123350.546
Armenia,1994,2966.603
American Samoa,1994,
Antigua and Barbuda,1994,311.695
Australia,1994,303957.63
Austria,1994,57586.568
Azerbaijan,1994,42383.186
Burundi,1994,341.031
Belgium,1994,113306.633
Benin,1994,1265.115
Burkina Faso,1994,645.392
Bangladesh,1994,18969.391
Bulgaria,1994,55848.41
Bahrain,1994,15254.72
"Bahamas, The",1994,1719.823
Bosnia and Herzegovina,1994,3630.33
Belarus,1994,65914.325
Belize,1994,374.034
Bermuda,1994,473.043
Bolivia,1994,8907.143
Brazil,1994,242154.012
Barbados,1994,748.068
Brunei Darussalam,1994,5408.825
Bhutan,1994,212.686
Botswana,1994,3509.319
Central African Republic,1994,234.688
Canada,1994,454491.647
Switzerland,1994,41470.103
Channel Islands,1994,
Chile,1994,40146.316
China,1994,3058241.33
Cote d'Ivoire,1994,5251.144
Cameroon,1994,3817.347
"Congo, Rep.",1994,2148.862
Cook Islands,1994,22.002
Colombia,1994,67571.809
Comoros,1994,77.007
Cape Verde,1994,110.01
Costa Rica,1994,5269.479
Cuba,1994,32199.927
Curacao,1994,
Cayman Islands,1994,289.693
Cyprus,1994,5812.195
Czech Republic,1994,127688.607
Germany,1994,903622.14
Djibouti,1994,429.039
Dominica,1994,69.673
Denmark,1994,61194.896
Dominican Republic,1994,12676.819
Algeria,1994,86350.516
East Asia & Pacific,1994,3894961.09794064
Europe & Central Asia,1994,3095729.97346661
Ecuador,1994,13637.573
"Egypt, Arab Rep.",1994,85312.755
Euro area,1994,2581736.682
Eritrea,1994,183.35
Spain,1994,244658.573
Estonia,1994,18661.363
Ethiopia,1994,3003.273
Finland,1994,59412.734
Fiji,1994,828.742
France,1994,369457.584
Faeroe Islands,1994,520.714
"Micronesia, Fed. Sts.",1994,
Gabon,1994,3351.638
United Kingdom,1994,563775.581
Georgia,1994,6083.553
Ghana,1994,5071.461
Gibraltar,1994,399.703
Guinea,1994,1228.445
"Gambia, The",1994,209.019
Guinea-Bissau,1994,278.692
